location,size,total_sqft,bath,price,price_per_sqft
Garudachar Palya,3,1325.0,2.0,60.8,0.045886792452830186
Kanakpura Road,3,1665.0,3.0,88.0,0.05285285285285285
Dasanapura,2,708.0,2.0,37.0,0.052259887005649715
Kasavanhalli,2,1060.0,2.0,58.06,0.05477358490566038
Sanjay nagar,2,1000.0,2.0,70.0,0.07
Electronic City,2,1000.0,2.0,28.88,0.02888
 Mysore Highway,3,1450.0,2.0,70.0,0.04827586206896552
Thanisandra,2,1296.0,2.0,80.0,0.06172839506172839
Domlur,3,1540.0,3.0,90.0,0.05844155844155844
Sarjapura - Attibele Road,3,1330.0,2.0,48.0,0.03609022556390978
Devasthanagalu,2,1200.0,2.0,65.0,0.05416666666666667
T Dasarahalli,3,1200.0,3.0,90.0,0.075
Yeshwanthpur,3,2502.0,3.0,138.0,0.05515587529976019
Chandapura,2,650.0,1.0,17.0,0.026153846153846153
Kothanur,3,2400.0,2.0,150.0,0.0625
Green View Layout,2,1007.0,2.0,43.0,0.04270109235352532
Shantiniketan Layout,2,1200.0,2.0,50.0,0.041666666666666664
Peenya,2,966.0,2.0,49.9,0.05165631469979296
Nagarbhavi,3,1630.0,2.0,98.0,0.06012269938650307
Jalahalli West,2,782.0,2.0,55.68,0.07120204603580563
Devanahalli,2,1260.0,2.0,66.78,0.053
Lakshmiamma Garden,3,1800.0,3.0,120.0,0.06666666666666667
Byatarayanapura,3,1413.0,2.0,75.0,0.05307855626326964
Whitefield,2,1116.0,2.0,51.91,0.046514336917562724
Electronic City,3,1530.0,2.0,45.9,0.03
Sarjapur  Road,3,2497.0,3.0,140.0,0.05606728073688426
Kengeri,3,1540.0,2.0,64.0,0.04155844155844156
Thanisandra,3,1436.0,3.0,74.75,0.052054317548746516
Malleshwaram,2,1100.0,2.0,75.0,0.06818181818181818
Hennur Road,2,276.0,3.0,23.0,0.08333333333333333
Thanisandra,3,1427.0,3.0,120.0,0.08409250175192712
Devanahalli,3,1282.0,2.0,68.52,0.05344773790951638
Kadugodi,2,1050.0,2.0,34.0,0.03238095238095238
LB Shastri Nagar,3,1600.0,3.0,65.0,0.040625
Vajarahalli,2,945.0,2.0,54.0,0.05714285714285714
Hormavu,2,1500.0,2.0,78.0,0.052
Peenya,3,1870.0,3.0,110.0,0.058823529411764705
Sarjapur,3,1600.0,3.0,75.0,0.046875
Electronic City,2,880.0,1.0,16.5,0.01875
Kudlu Gate,3,1535.0,3.0,83.0,0.054071661237785014
Kanakpura Road,2,950.0,2.0,57.0,0.06
Devanahalli,2,1360.0,2.0,65.0,0.04779411764705882
8th Phase JP Nagar,2,1073.5,2.0,54.005,0.05030740568234746
Bommasandra Industrial Area,3,1280.0,3.0,50.4,0.039375
Chandra Layout,3,1260.0,2.0,85.05,0.0675
Kasavanhalli,3,1563.05,3.0,105.0,0.06717635392341896
ISRO Layout,2,1000.0,2.0,60.0,0.06
Anandapura,2,1167.0,2.0,43.76,0.037497857754927165
Kothanur,3,1828.0,3.0,110.0,0.060175054704595186
Kengeri Satellite Town,2,890.0,2.0,35.0,0.03932584269662921
Basavanapura,3,1612.0,3.0,46.74,0.028995037220843674
Mysore Road,3,1710.0,4.0,91.31,0.05339766081871345
Kannamangala,2,957.0,2.0,58.0,0.06060606060606061
 Devarachikkanahalli,3,1250.0,2.0,44.0,0.0352
Hulimavu,2,1125.0,2.0,50.0,0.044444444444444446
Electronic City Phase II,2,1020.0,2.0,30.6,0.030000000000000002
Kalena Agrahara,2,1200.0,2.0,50.0,0.041666666666666664
Thanisandra,3,1735.0,3.0,135.0,0.07780979827089338
Thanisandra,3,2050.0,3.0,145.0,0.07073170731707316
Yarandahalli,3,1350.0,2.0,48.0,0.035555555555555556
Hosa Road,2,1063.0,2.0,32.0,0.030103480714957668
Keshava Nagar,3,1904.0,3.0,150.0,0.07878151260504201
Sarjapur,2,1242.5,2.0,43.49,0.035002012072434606
Tejaswini Nagar,3,1425.0,2.0,75.0,0.05263157894736842
Electronic City,3,1500.0,2.0,64.5,0.043
Electronic City,2,1060.0,2.0,60.0,0.05660377358490566
Jai Bheema Nagar,3,1470.0,2.0,70.0,0.047619047619047616
Attibele,1,450.0,1.0,11.0,0.024444444444444446
Electronic City,2,1152.0,2.0,64.5,0.055989583333333336
Electronic City,3,1350.0,2.0,56.0,0.04148148148148148
CV Raman Nagar,3,1550.0,3.0,65.0,0.041935483870967745
CHIKKATIRUPATHI,3,1500.0,3.0,100.0,0.06666666666666667
Nagavara,1,400.0,1.0,14.0,0.035
Malleshwaram,1,705.0,1.0,67.0,0.0950354609929078
Electronic City,2,770.0,1.0,36.0,0.046753246753246755
Hulimavu,2,1242.0,2.0,51.0,0.04106280193236715
Hebbal Kempapura,3,1700.0,3.0,155.0,0.09117647058823529
Thanisandra,3,2144.0,3.0,145.0,0.06763059701492537
Vijayanagar,3,1704.0,3.0,110.0,0.06455399061032864
Electronic City,2,1070.0,2.0,52.0,0.048598130841121495
Jakkuru Layout,2,1340.0,2.0,55.7,0.04156716417910448
Electronic City,2,1025.0,2.0,46.0,0.0448780487804878
KR Puram,2,1277.5,2.0,56.8,0.04446183953033268
Marathahalli,2,1200.0,2.0,52.0,0.043333333333333335
Kanakpura Road,4,2250.0,4.0,110.0,0.04888888888888889
Pattandur Agrahara,3,1550.0,2.0,80.0,0.05161290322580645
Marathahalli,2,1200.0,2.0,60.0,0.05
Yelahanka,2,1327.0,2.0,98.0,0.07385079125847777
Kothanur,2,1186.0,2.0,58.0,0.048903878583473864
MS Pallya,3,1783.0,3.0,115.0,0.06449803701626472
HSR Layout,3,1400.0,3.0,56.0,0.04
Nagasandra,2,980.0,2.0,48.0,0.04897959183673469
EPIP Zone,2,1285.0,2.0,82.0,0.06381322957198443
Langford Town,3,912.0,2.0,70.0,0.07675438596491228
Whitefield,2,1225.0,2.0,47.6,0.03885714285714286
Whitefield,2,1075.0,2.0,53.0,0.04930232558139535
Kadugodi,3,1260.0,2.0,54.0,0.04285714285714286
Yelahanka,3,1282.0,2.0,48.7,0.03798751950078003
Kogilu,3,1909.0,3.0,88.0,0.04609743321110529
Panathur,2,1359.0,2.0,87.0,0.0640176600441501
Nagondanahalli,2,1207.0,2.0,43.5,0.03603976801988401
Kammasandra,3,1595.0,3.0,65.0,0.04075235109717868
"Off Sarjapur Road, ",3,1798.0,3.0,89.0,0.04949944382647386
Electronics City Phase 1,3,1475.0,3.0,78.29,0.05307796610169492
Tala Cauvery Layout,3,1580.0,3.0,100.0,0.06329113924050633
Dasarahalli,2,1295.0,2.0,65.0,0.05019305019305019
Electronic City,1,589.0,1.0,27.0,0.04584040747028863
Ngef Layout,3,1415.0,3.0,78.0,0.05512367491166078
Sarjapur  Road,3,1787.0,3.0,98.29,0.05500279798545048
Sarjapur  Road,3,1787.0,3.0,125.0,0.06994963626189143
Koramangala,3,1475.0,2.0,90.0,0.061016949152542375
"Lakshminarayanapura, Electronic City Phase 2",4,2000.0,4.0,75.5,0.03775
Sarjapur  Road,2,984.0,2.0,44.28,0.045
Devanahalli,3,1630.0,2.0,74.82,0.04590184049079754
7th Phase JP Nagar,2,1080.0,2.0,72.0,0.06666666666666667
Shantiniketan Layout,2,1500.0,2.0,115.0,0.07666666666666666
Hebbal,3,1900.0,3.0,119.0,0.06263157894736843
Dommasandra,2,805.0,2.0,22.14,0.027503105590062114
Budigere,2,1153.0,2.0,56.4,0.04891587163920208
Dodda Nekkundi Extension,2,1148.0,2.0,60.0,0.05226480836236934
Mylasandra,2,1110.0,2.0,55.0,0.04954954954954955
Electronic City,2,1100.0,2.0,42.0,0.038181818181818185
Kalyan nagar,2,1290.0,2.0,110.0,0.08527131782945736
Dr Shivarama Karantha Nagar,3,1500.0,2.0,65.0,0.043333333333333335
Bank Of Baroda Colony,2,1080.0,2.0,39.0,0.03611111111111111
Vijayanagar,3,1933.0,3.0,129.0,0.06673564407656493
Kullappa Colony,2,1060.0,2.0,60.0,0.05660377358490566
Chandapura,1,645.0,1.0,16.45,0.025503875968992246
Ashwath Nagar,3,1644.0,3.0,84.0,0.051094890510948905
Ncpr Industrial Layout,2,1285.0,2.0,72.5,0.05642023346303502
Electronic City,3,1200.0,3.0,90.0,0.075
Electronic City,2,910.0,2.0,40.0,0.04395604395604396
Kothanur,3,1577.0,3.0,70.0,0.04438807863031072
Chandapura,2,800.0,1.0,20.0,0.025
Anand Nagar,2,1060.0,2.0,55.0,0.05188679245283019
7th Phase JP Nagar,2,1270.0,2.0,93.0,0.07322834645669292
Shree Ananth Nagar Layout,2,900.0,2.0,22.5,0.025
Kundalahalli Colony,2,1280.0,2.0,69.0,0.05390625
Horamavu Agara,4,1200.0,2.0,95.0,0.07916666666666666
Sarjapur  Road,2,1025.0,2.0,36.0,0.0351219512195122
Electronic City,2,1108.0,2.0,63.0,0.05685920577617329
Vijayanagar,3,1500.0,3.0,75.5,0.050333333333333334
Raja Rajeshwari Nagar,2,1295.0,2.0,43.9,0.0338996138996139
Budigere,2,1162.0,2.0,59.9,0.05154905335628227
Sarjapur  Road,2,1035.0,2.0,49.2,0.04753623188405797
Attibele,4,1600.0,4.0,52.8,0.033
KUDLU MAIN ROAD,3,1464.0,3.0,46.0,0.031420765027322405
Hennur Road,3,1866.0,2.0,61.58,0.0330010718113612
Geleyara Balaga Layout,2,700.0,1.0,26.0,0.037142857142857144
Kalena Agrahara,3,1804.0,3.0,120.0,0.06651884700665188
Sarjapur,2,913.0,2.0,32.0,0.03504928806133625
Talaghattapura,3,1868.0,3.0,131.0,0.07012847965738758
Kengeri Satellite Town,2,883.0,2.0,45.0,0.05096262740656852
Kogilu,3,1664.0,2.0,73.95,0.04444110576923077
Hegde Nagar,3,2026.0,3.0,132.0,0.06515301085883514
Balagere,2,1210.0,2.0,80.9,0.0668595041322314
Kadugodi,3,1762.0,3.0,91.45,0.05190124858115778
Jigani,3,1252.0,3.0,55.0,0.0439297124600639
Gollarapalya Hosahalli,2,861.0,2.0,34.5,0.04006968641114982
7th Phase JP Nagar,3,1420.0,2.0,100.0,0.07042253521126761
Electronics City Phase 1,3,1490.0,3.0,78.8,0.05288590604026845
Bisuvanahalli,3,1075.0,2.0,46.0,0.04279069767441861
Old Madras Road,3,1425.0,2.0,94.0,0.06596491228070175
Kalena Agrahara,2,1200.0,2.0,40.0,0.03333333333333333
Kaggadasapura,3,1280.0,2.0,56.0,0.04375
Silver Springs Layout,2,1084.0,2.0,50.0,0.046125461254612546
Chandapura,2,1015.0,2.0,25.88,0.025497536945812808
Kanakpura Road,2,1017.0,2.0,51.25,0.05039331366764995
Haralur Road,2,1027.0,2.0,44.0,0.042843232716650435
Electronic City Phase II,2,1069.0,2.0,45.0,0.042095416276894296
Hebbal,2,1349.0,2.0,98.2,0.07279466271312084
9th Phase JP Nagar,2,1005.0,2.0,50.0,0.04975124378109453
Jakkur,2,1417.0,2.0,75.0,0.0529287226534933
TC Palaya,3,1475.0,3.0,98.0,0.06644067796610169
Maruthi Sevanagar,2,950.0,2.0,47.0,0.049473684210526316
RMV 2nd Stage,4,2000.0,4.0,120.0,0.06
Sarjapur  Road,4,1863.0,3.0,104.0,0.055823939881910895
Singasandra,2,1010.0,2.0,29.5,0.02920792079207921
Kalena Agrahara,3,1425.0,2.0,70.0,0.04912280701754386
Vijayanagar,3,1450.0,3.0,100.0,0.06896551724137931
Kothanur,3,1847.0,3.0,105.0,0.0568489442338928
AECS Layout,2,1100.0,2.0,45.0,0.04090909090909091
Kanakpura Road,1,525.0,1.0,26.0,0.049523809523809526
Mallasandra,3,1665.0,3.0,95.0,0.057057057057057055
Begur,4,1664.0,4.0,65.0,0.0390625
JP Nagar,3,1850.0,3.0,150.0,0.08108108108108109
Panathur,2,1438.0,2.0,100.0,0.06954102920723226
Sunder Ram Shetty Nagar,3,1560.0,3.0,115.0,0.07371794871794872
Yelahanka,2,1350.0,2.0,55.55,0.04114814814814815
Kanakpura Road,3,1550.0,3.0,67.0,0.043225806451612905
Malleshpalya,2,1140.0,2.0,46.5,0.04078947368421053
Kodathi,2,850.0,2.0,27.0,0.03176470588235294
Whitefield,2,1280.0,2.0,75.0,0.05859375
Munnekollal,2,1170.0,2.0,52.0,0.044444444444444446
Motappa Layout,2,1113.0,2.0,51.0,0.04582210242587601
Hennur Road,2,1385.0,2.0,83.09,0.059992779783393506
Electronic City,2,1128.0,2.0,65.0,0.057624113475177305
Haralur Road,3,1464.0,3.0,56.0,0.03825136612021858
Manayata Tech Park,2,1200.0,2.0,55.0,0.04583333333333333
Kaval Byrasandra,2,1200.0,2.0,52.0,0.043333333333333335
Kaggalipura,3,1150.0,2.0,55.0,0.04782608695652174
Basavanna Nagar,3,1645.0,3.0,95.0,0.057750759878419454
Sarjapur  Road,2,1000.0,2.0,67.0,0.067
6th Phase JP Nagar,2,1192.0,2.0,74.0,0.06208053691275168
Whitefield,2,1173.0,2.0,58.0,0.0494458653026428
Uttarahalli,2,1020.0,2.0,45.0,0.04411764705882353
Somasundara Palya,3,1600.0,3.0,64.0,0.04
T.C PALYA,2,1200.0,2.0,79.0,0.06583333333333333
Muneshwara Nagar,2,1230.0,2.0,48.0,0.03902439024390244
 Devarachikkanahalli,2,1250.0,2.0,40.0,0.032
Kalena Agrahara,2,1325.0,2.0,76.0,0.057358490566037736
7th Phase JP Nagar,3,1850.0,3.0,150.0,0.08108108108108109
Kanakpura Road,1,525.0,2.0,21.53,0.041009523809523815
Basaveshwara Nagar,2,1200.0,2.0,65.0,0.05416666666666667
Bommasandra,3,1260.0,3.0,49.36,0.039174603174603174
Prashanth Nagar,3,1800.0,3.0,150.0,0.08333333333333333
Ardendale,2,1100.0,2.0,43.25,0.03931818181818182
Harlur,2,1508.0,2.0,77.0,0.05106100795755968
Sampigehalli,3,1592.0,3.0,75.0,0.0471105527638191
Akshaya Nagar,2,1388.0,2.0,57.0,0.04106628242074928
Electronic City Phase II,1,630.0,1.0,28.35,0.045000000000000005
Banashankari3rd stage bigbazar,3,1762.0,3.0,125.0,0.07094211123723042
Bagalur Main Road,2,950.0,2.0,50.0,0.05263157894736842
Magadi Road,2,1116.0,2.0,50.0,0.044802867383512544
Narayanapura,2,1308.0,2.0,89.04,0.06807339449541285
MS Pallya,3,1200.0,3.0,90.0,0.075
Bannerghatta Road,1,500.0,1.0,18.5,0.037
Hennur,2,1075.0,2.0,52.0,0.04837209302325581
Chandapura,1,530.0,1.0,11.66,0.022
Bellandur,2,1205.0,2.0,66.0,0.054771784232365145
5th Phase JP Nagar,2,1075.0,2.0,60.0,0.05581395348837209
KR Puram,2,930.0,2.0,39.0,0.041935483870967745
Balagere,2,1380.0,2.0,60.0,0.043478260869565216
Kodigehaali,2,1166.0,2.0,55.0,0.04716981132075472
Bannerghatta Road,2,1050.0,2.0,65.0,0.06190476190476191
Begur Road,2,1200.0,2.0,46.8,0.039
Lakshminarayana Pura,3,1600.0,2.0,108.0,0.0675
Billekahalli,3,1935.0,3.0,110.0,0.056847545219638244
8th Phase JP Nagar,1,451.0,1.0,29.9,0.06629711751662971
Electronic City,3,1800.0,3.0,95.0,0.05277777777777778
Jalahalli,3,1400.0,3.0,77.0,0.055
Hegde Nagar,3,1801.0,3.0,115.0,0.06385341476957246
Mahadevpura,2,1451.0,2.0,90.0,0.06202618883528601
Anekal,2,1200.0,1.0,36.0,0.03
Begur Road,2,1160.0,2.0,44.0,0.03793103448275862
Kengeri,2,1000.0,2.0,25.0,0.025
Kanakpura Road,2,950.0,2.0,40.0,0.042105263157894736
"Hoodi Circle, ",3,1629.0,3.0,79.0,0.048496009821976674
Vijayanagar,3,1580.0,2.0,134.0,0.08481012658227848
Vijayanagar,3,1826.0,3.0,121.0,0.06626506024096386
7th Phase JP Nagar,2,1245.0,2.0,94.0,0.07550200803212852
Raja Rajeshwari Nagar,2,1145.0,2.0,45.79,0.03999126637554585
Sompura,2,825.0,2.0,33.0,0.04
Yeshwanthpur,3,1693.0,3.0,108.0,0.0637920850561134
Electronics City Phase 1,2,1113.27,2.0,53.0,0.047607498630161595
Ashirvad Colony,2,1460.0,2.0,58.0,0.03972602739726028
Doddathoguru,2,1050.0,2.0,32.0,0.030476190476190476
Dodda Nekkundi,2,1260.0,2.0,55.0,0.04365079365079365
Hosur Road,2,1656.0,2.0,120.0,0.07246376811594203
Chandapura,3,1208.0,3.0,45.0,0.037251655629139076
Whitefield,3,1910.0,3.0,161.0,0.08429319371727749
Battarahalli,2,1200.0,2.0,65.0,0.05416666666666667
7th Phase JP Nagar,2,1175.0,2.0,82.0,0.06978723404255319
Sanne Amanikere,2,1185.0,2.0,38.0,0.032067510548523206
Kengeri,2,750.0,2.0,38.0,0.050666666666666665
Kanakpura Road,3,1550.0,3.0,64.5,0.04161290322580645
Amco Colony,3,1760.0,3.0,88.0,0.05
Billekahalli,2,1125.0,2.0,62.0,0.05511111111111111
Anandapura,2,1000.0,2.0,55.0,0.055
Bommasandra Industrial Area,2,1090.0,2.0,31.48,0.028880733944954128
TC Palaya,2,1200.0,2.0,60.0,0.05
Budigere,3,1991.0,4.0,103.0,0.05173279758915118
Bommasandra,2,1060.0,2.0,26.5,0.025
Ambalipura,2,1105.0,2.0,75.0,0.06787330316742081
Hoodi,2,985.0,2.0,67.0,0.06802030456852792
Balagere,3,1590.0,3.0,79.0,0.04968553459119497
CV Raman Nagar,2,1120.0,2.0,55.0,0.049107142857142856
Samethanahalli,2,1069.0,2.0,55.0,0.05144995322731525
Marathahalli,3,1933.0,3.0,140.0,0.07242628039317124
Hosur Road,2,1194.0,2.0,69.0,0.05778894472361809
Brookefield,2,1150.0,2.0,69.0,0.06
Yelenahalli,2,1240.0,2.0,47.12,0.038
Raja Rajeshwari Nagar,2,1419.0,2.0,48.1,0.03389711064129669
Suddaguntepalya,3,1450.0,3.0,55.0,0.03793103448275862
Udayapur Village,3,1630.0,3.0,68.29,0.0418957055214724
Dasanapura,2,708.0,1.0,40.0,0.05649717514124294
Bellandur,2,1250.0,2.0,76.0,0.0608
7th Phase JP Nagar,3,1400.0,2.0,95.0,0.06785714285714285
Sarjapur  Road,3,1670.0,2.0,57.0,0.03413173652694611
Ardendale,3,1750.0,3.0,100.0,0.05714285714285714
Vittasandra,2,1404.0,2.0,71.0,0.05056980056980057
Hoodi,3,1715.0,2.0,95.0,0.05539358600583091
Electronic City,1,630.0,1.0,34.65,0.055
Harlur,3,1752.12,3.0,135.0,0.07704951715635916
Hulimavu,3,1650.0,3.0,78.0,0.04727272727272727
Raja Rajeshwari Nagar,2,1295.0,2.0,55.47,0.042833976833976835
Sarjapur  Road,2,1346.0,2.0,74.03,0.055
Hormavu,2,1150.0,2.0,55.0,0.04782608695652174
Chandapura,3,1190.0,2.0,30.35,0.02550420168067227
AECS Layout,3,1620.0,3.0,98.0,0.06049382716049383
Marathahalli,2,950.0,2.0,46.96,0.049431578947368424
Harlur,3,2450.0,3.0,120.0,0.04897959183673469
Electronic City Phase II,3,1220.0,2.0,35.23,0.028877049180327866
Hoysalanagar,2,850.0,2.0,30.0,0.03529411764705882
Padmanabhanagar,2,1020.0,2.0,63.0,0.061764705882352944
Chikkalasandra,2,1100.0,2.0,50.0,0.045454545454545456
Hebbal,3,1760.0,2.0,130.0,0.07386363636363637
Ambalipura,3,1800.0,3.0,110.0,0.06111111111111111
Akshaya Nagar,2,1070.0,2.0,54.0,0.05046728971962617
Vidyaranyapura,2,1440.0,2.0,95.0,0.06597222222222222
Amruthahalli,2,900.0,2.0,40.0,0.044444444444444446
Whitefield,2,1130.0,2.0,42.16,0.03730973451327433
Kodigehalli,2,1270.0,2.0,98.0,0.07716535433070866
Patelappa Layout,2,1200.0,2.0,62.0,0.051666666666666666
NS Palya,2,1200.0,2.0,74.0,0.06166666666666667
Subramanyapura,2,929.0,2.0,50.17,0.05400430570505921
KUDLU MAIN ROAD,3,1464.0,3.0,56.0,0.03825136612021858
Bank Avenue,4,2000.0,4.0,99.0,0.0495
Chikkalasandra,2,1208.0,2.0,49.0,0.04056291390728477
Hebbal Kempapura,2,1130.0,2.0,60.0,0.05309734513274336
Surabhi Layout,3,1753.0,3.0,120.0,0.06845407872219053
Banjara Layout,3,600.0,3.0,58.0,0.09666666666666666
Hoodi,2,1196.0,2.0,94.42,0.07894648829431439
5th Phase JP Nagar,2,1150.0,3.0,52.5,0.04565217391304348
Electronic City,2,1128.0,2.0,63.0,0.05585106382978723
Omkar Nagar,2,1000.0,2.0,53.0,0.053
Yelahanka,2,1035.0,2.0,45.0,0.043478260869565216
Kereguddadahalli,2,950.0,2.0,32.0,0.03368421052631579
Bisuvanahalli,3,1075.0,2.0,36.0,0.03348837209302326
Whitefield,2,1040.0,2.0,48.5,0.046634615384615385
Maragondanahalli,2,720.0,2.0,45.0,0.0625
Lingadheeranahalli,3,1511.0,3.0,95.0,0.0628722700198544
Silk Board,3,1300.0,3.0,58.0,0.04461538461538461
Hoodi,3,1545.0,3.0,68.75,0.04449838187702265
Shampura,1,375.0,2.0,26.0,0.06933333333333333
Vidyaranyapura,2,1062.0,2.0,38.0,0.035781544256120526
Kada Agrahara,2,1115.0,2.0,40.0,0.03587443946188341
JP Nagar,2,1000.0,2.0,35.0,0.035
Kambipura,2,883.0,2.0,45.0,0.05096262740656852
Sarjapur  Road,2,1195.0,2.0,70.0,0.058577405857740586
Medahalli,1,700.0,1.0,41.0,0.05857142857142857
Vittasandra,2,1246.0,2.0,67.0,0.05377207062600321
Kashi Nagar,4,1600.0,4.0,80.0,0.05
Begur Road,3,1584.0,3.0,65.0,0.041035353535353536
Hosur Road,3,1175.0,2.0,48.0,0.04085106382978723
"Yemlur, Old Airport Road, ",3,1595.0,3.0,115.0,0.07210031347962383
VHBCS Layout,2,1353.0,2.0,110.0,0.08130081300813008
Electronic City,3,1599.0,3.0,125.0,0.07817385866166354
Whitefield,2,1150.0,2.0,70.0,0.06086956521739131
KR Puram,2,1155.0,2.0,42.74,0.037004329004329005
Ittamadu,1,1200.0,2.0,85.0,0.07083333333333333
Electronic City Phase II,2,1000.0,2.0,25.0,0.025
Rajiv Nagar,3,1867.0,3.0,160.0,0.0856989823245849
Ramagondanahalli,2,1251.0,2.0,47.0,0.037569944044764186
Gattahalli,2,1028.0,2.0,45.5,0.04426070038910506
Arekere,2,1222.0,2.0,45.0,0.036824877250409165
Bannerghatta Road,3,1170.0,2.0,66.0,0.05641025641025641
Ramanjaneyanagar,3,1385.0,2.0,48.48,0.035003610108303246
HSR Layout,2,1372.0,2.0,68.0,0.04956268221574344
Magadi Road,3,1282.0,2.0,49.0,0.038221528861154444
Kanakpura Road,2,1135.0,2.0,39.73,0.03500440528634361
Whitefield,3,1768.0,3.0,101.0,0.057126696832579184
Byatarayanapura,3,1325.0,2.0,90.0,0.06792452830188679
Electronic City,3,1599.0,3.0,99.0,0.06191369606003752
Whitefield,3,1500.0,3.0,61.95,0.0413
Uttarahalli,2,1286.0,2.0,63.0,0.048989113530326596
K G Colony,3,1600.0,2.0,50.0,0.03125
Hennur Road,2,1317.5,2.0,63.77,0.0484022770398482
Munnekollal,2,1102.0,2.0,53.67,0.04870235934664247
Yelahanka,2,1350.0,2.0,54.0,0.04
Banashankari,3,1200.0,2.0,42.0,0.035
Herohalli,2,1800.0,1.0,80.0,0.044444444444444446
Chikkabanavar,2,950.0,2.0,40.0,0.042105263157894736
Kanakpura Road,1,525.0,1.0,27.25,0.051904761904761905
Attibele,2,656.0,2.0,25.0,0.038109756097560975
3rd Block Hrbr Layout,2,1056.0,2.0,80.0,0.07575757575757576
Bannerghatta Road,1,595.0,1.0,33.32,0.056
Ittamadu,2,1080.0,2.0,50.0,0.046296296296296294
7th Phase JP Nagar,3,2225.0,3.0,160.0,0.07191011235955057
Bommasandra,2,1126.0,2.0,28.15,0.024999999999999998
Electronics City Phase 1,3,1490.0,3.0,84.0,0.056375838926174496
